1,400,392.5,407.5
2,412.5,407.5,417.5
3,442.5,437.5,447.5
4,490,485,495
5,510,505,515
6,560,555,565
7,620,615,625
8,665,660,670
9,673.75,670,677
10,681,25,677.5,685
11,708.75,703.75,713.75
12,753.75,750,757.5
13,761.25,760,762.5
14,778.75,771.25,786.25
15,865,855,875
16,885,880,890
17,900,890,910
18,1020,1000,1040
19,550,540,560
20,665,655,675
21,865,855,875
22,1375,1367.5,1382.5
23,1610,1580,1640
24,2250,2225,2275
25,550,540,560
26,665,655,675
27,865,855,875
28,1375,1367.5,1382.5
29,1610,1580,1640
30,2250,2225,2275
